Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
Thiamine,2.63,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Methionine,2.63,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Carnitine,2.63,AA' BB' system,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Pyridoxine,2.63,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Methionine,2.64,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Methionine,2.64,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Methionine,2.65,Doublet of doublets,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Aspartate,2.6533,Doublet of doublets,-17.426,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
N-Acetylneuraminic acid (bound AcNeu2->6),2.67,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
NAA,2.6727,Doublet of doublets,9.821,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Aspartate,2.68,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Aspartate,2.68,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Aspartate,2.68,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
"5,6 Dihydrouracil",2.68,Triplet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
"5,6-dihydrouracil",2.68,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Ethosuccimide,2.68,AA' BB' system,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Aspartate,2.68,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Aspartate,2.69,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Citrate,2.694,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
N-acetyl-L-aspartate,2.7,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
DMA,2.7,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Dimethylamine,2.71,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Dimethylamine,2.71,,,,,
N-Acetylneuraminic acid (α anomer),2.72,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
α-ketobutyrate,2.73,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Dimethylamine,2.731,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Dimethylamine,2.74,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
"5,6-dihydrouridine",2.74,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamate,2.76,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Sarcosine,2.76,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Triglycerides,2.77,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Lipids (triglycerides & Fatty acids),2.78,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
"5,6 Dihydrothymine",2.78,Multiplet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Lipid,2.78,Multiplet,,Metabolites,Miscelaneous list,Unknown
β-alanine,2.78,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipid,2.78,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Aspartate,2.79,Multiplet,,Metabolites,Miscelaneous list,Unknown
Aspartate,2.79,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Aspartate,2.8,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Proline,2.8,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lipids,2.8,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
"5,6-dihydrothymine",2.8,Multiplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Aspartate,2.8011,Doublet of doublets,9.107,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
L-aspartate,2.803,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Aspartate,2.82,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Aspartate,2.82,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Aspartate,2.82,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Aspartate,2.82,Multiplet,,Metabolites,Miscelaneous list,Unknown
Aspartate,2.82,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
3-carboxamide derivative 5 (Coumarin),2.83,Triplet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Asparagine,2.84,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
3-carboxamide derivative 3 (Coumarin),2.85,Triplet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
N-acetylaspartylglutamic acid,2.85,AA' BB' system,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Tyrosine,2.86,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Asparagine,2.86,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Asparagine,2.86,Multiplet,,Metabolites,Miscelaneous list,Unknown
Asparagine,2.86,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Aspartate,2.86,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Asparagine,2.87,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
3-Aminoisobutyric acid,2.87,Multiplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
L-aspartate,2.887,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Asparagine,2.89,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Citrate,2.9,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutathione,2.9264,Doublet of doublets,4.71,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Dimethylglycine,2.93,Singlet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
3-carboxamide derivative 4 (Coumarin),2.93,Triplet,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Dimethylglycine,2.93,Singlet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
L-aspartate,2.934,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Asparagine,2.94,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
DSS,2.94,,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Asparagine,2.94,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Asparagine,2.94,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Melatonin,2.94,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Asparagine,2.94,Multiplet,,Metabolites,Miscelaneous list,Unknown
Fuc-GlcNAc-Asn,2.94,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Asparagine,2.94,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
3-methyl-2-oxovalerate,2.94,,,,,
Glutathione,2.95,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
N-acetylaspartic acid,2.95,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Glutathione,2.95,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Homocarnosine,2.962,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Asparagine,2.97,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
GlcNAc-Asn,2.97,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
"4,5-dihydroorotic acid",2.97,AA' BB' system,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Asparagine,2.97,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutathione,2.9747,Doublet of doublets,-14.06,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Histamine,2.9813,Multiplet,-16.12,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Isocitrate,2.989,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Histamine,2.9897,,6.27,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Homocarnosine,3.003,Doublet of doublets,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Lysine,3.01,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lysine,3.01,Triplet,,Metabolites,Miscelaneous list,Unknown
Lysine,3.01,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lysine,3.01,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Isocitrate,3.01,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
GABA,3.0128,Multiplet,"5.372, 7.127",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Lysine,3.02,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
2-oxoisovalerate,3.02,,,,,
α-ketoglutarate,3.025,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Creatine,3.027,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phosphocreatine,3.029,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Lysine,3.03,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Creatine,3.03,Singlet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Histidine,3.03,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Tyrosine,3.03,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Creatine,3.03,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Creatine,3.03,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Lysine,3.03,Triplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lysine,3.03,Triplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Creatine,3.03,Singlet,,Metabolites,Miscelaneous list,Unknown
Creatine,3.03,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Tyrosine,3.037,Doublet of doublets,-14.726,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Creatine,3.04,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Creatinine,3.04,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Creatine,3.04,Singlet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lysine,3.04,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Cysteine,3.04,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Creatine,3.04,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tyrosine,3.05,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
